ID,X,Y,Name
1000780,-46.627876,-23.573744,Parque da Aclimação
1000790,-46.7265701293945,-23.5545164493322,CTH-USP
1000791,-46.670842,-23.465175,Córrego Guaraú - Reservatório (PMSP/CV-02)
1000800,-46.75083,-23.52556,Rio Tietê - Barragem Móvel Jusante
1000814,-46.75927,-23.61422,Córrego Pirajuçara - Sharp
1000817,-46.755819,-23.49195,Ribeirão Vermelho - Anhanguera
1000835,-46.60644,-23.66763,Córrego Taboão - Ford Fábrica
1000837,-46.656168,-23.552718,CGE - R. Bela Cintra
1000838,-46.753125,-23.407443,Perus - (PMSP/PR-01)
1000839,-46.583518,-23.632978,Ribeirão dos Meninos - Clube São José
1000843,-46.465567,-23.594199,Rio Aricanduva - Av. Ragueb Chohfi (PMSP/SM-02)
1000845,-46.66537,-23.47706,Freguesia do Ó (PMSP/FO-01)
1000846,-46.619502,-23.511211,Santana/Tucuruvi - COMDEC (PMSP/ST-01)
1000847,-46.75083,-23.52556,Rio Tietê Barragem Móvel Montante
1000851,-46.667657,-23.634789,Córrego Água Espraiada - Piscinão Jabaquara (PMSP/SA-02)
1000853,-46.76749,-23.65818,Córrego Morro do S - Capão Redondo (PMSP/CL-01)
1000858,-46.508798,-23.563309,Rio Aricanduva - Shopping
1000861,-46.453618,-23.491511,Córrego Jacú - Jd. Pantanal
1000863,-46.44611,-23.552301,Córrego Jacú - Av. Itaquera (PMSP/IQ-01)
1000865,-46.643757,-23.518626,Rio Tietê - Anhembi
1000867,-46.532528,-23.752079,Riacho Grande
1000868,-46.63556,-23.58472,Vila Mariana - R. Vergueiro
1000879,-46.6949,-23.59582,Rio Pinheiros  - Superior - Usina Elevatória Traição
1000883,-46.43599,-23.49067,Córrego Itaquera  - Rua Santa Divina (PMSP/IT-02)
1000886,-46.528744,-23.530763,Córrego Rincão - Montante do Piscinão (PMSP/PE-03)
1000938,-46.646581,-23.650814,Jabaquara - Pç. Serafina Gioncoli Vicenti
1000943,-46.585572,-23.459841,Córrego Tremembé - R. Garabed Gananian (PMSP/JT-02)
1000945,-46.695939,-23.551871,Pinheiros (PMSP/PI-01)
1000958,-46.588237,-23.589799,Rio Tamanduateí - Montante AT -09 Guamiranga
1000959,-46.592951,-23.587659,Rio Tamanduateí - Jusante AT -09 Guamiranga
1000966,-45.97424,-23.57649,Barragem Ponte Nova Jusante
1001286,-46.086808,-23.603755,Barragem Biritiba Montante
